argument;antwort
My religion allows me to eat meat;Some religions allow eating meat, but it's never mandatory. Given the scale of today's animal industry compared to centuries ago, choosing not to support it can very well align with most religious values
What about wool;Almost all wool comes from industrial wool farms, where efficiency and production rates are more important that animal wellbeing. And just like hens and dairy cows, as soon as a sheept produces less wool, it is slaughtered quickly
Eating animal products is legal;The fact that eating animal products is legal today doesn't mean it's right, especially given the scale of suffering involved. Legality isn't the same as morality. Many things were once legal - slavery, child labor, denying women to vote. Laws often lag behind ethics.
comparing animal industry to the holocaust;A comparison with the holocaust is not correct and not useful. There is no need to compare the animal industry with things like this. It is bad enough on it's own.
Vegans need to supplement Vitamin B12. So a vegan diet is unnatural.;Farm animals are being supplemented B12 in large quantities, so indirectly it is in those products also supplemented. B12 comes from bacteria. Many people have a B12 shortage, much more than there are vegans.
Would you eat meat if you had no other choice? Stranded on a desert island with a pig?;If you lived in a place where there was plenty plant-based food, would you choose to kill animals and eat them for no reason other than your dietary preference? Also, what anybody would do in an extreme scenario does not give any guidance for behavior in non-extreme scenarios
It makes no difference when I go vegan;each vegan saves hundreds of animals per year, reduces more greenhouse emissions than non-vegans and uses a fraction of the fresh water resources. And, many individuals together make a bigger difference.
I honor the animals that I eat.;Animals are not honored or respected when they are slaughtered. The term carries a nostalgia of nomad tribes in a huge wilderniss, thanking the spirits for the animal they need to survive. The living situation of most of us, and the massive animal industry are far away from this.
I don't eat animal babies, no lamb.;Beef cattle is slaughtered at 18-24 months, their lifespan is 15-20 years. Pigs and also sheep around 6-8 months, they could become 10-15 years. Meat chickens even after 5-7 weeks. So basically, all of them were still babies. Only dairy cows, egg-hens and wool sheep live a bit longer, until their productivity declines
Our early ancestors ate meat.;Homo Sapiens has over thousands of years shown a high flexibiity on which diets individuals can survive and thrive. Ranging from fish or meat-heavy to fruit-heavy. It just proves we have the choice to decide to do the right thing.
vegan food is boring and tasts bad.;Many dishes that people love are already vegan by nature. And, trying vegan dishes actually becomes a pleasant tasteful discovery journey for new vegans.
vegans don't get enough iron;Red meat has been advertized for years as source for iron. But many plants have more than enough iron (for example lentilles, spinach, chocolate). Also, the heme iron found in meat can lead to too much iron which causes diseases, mainly with elderly men.
vegans don't get enough protein;Meat has long been advertized as source of protein. But many plants offer more than enough protein (soy, other legumes, grains) and also contain all essential amino acids.
we need to test on animals;testing for cosmetics or household products is not necessary anymore, but still happenig. Testing on new food, only due to legislation. And for Pharmaceutical purposes, it remains questionanble to what degree tests on animals are even representative for use with humans. A large part of the animal testing is not necessary, but promoted by the testing industry that wants to keep growing.
We have canine teeth, so we are meat eaters;Our canines cannot rip through animal skin. Even gorillas who are plant eaters have way larger canines. Our teeth don't tell us very much. Fact is humans can live on all sorts of diets. That gives us the choice to decide to do the right thing.
We are omnivores;Homo Sapiens has over thousands of years shown a high flexibiity on which diets individuals can survive and thrive. Ranging from fish or meat-heavy to fruit-heavy. It just proves we have the choice to decide to do the right thing.
what about honey;Bees make honey for themselves, and taking it, especially in commercial production, still exploits and can harm them, so why not choose plant-based alternatives instead, such as maple, agava, date syrup
I only eat biological, humane meat and animal products;"It's very hard to consistently eat only truly humane or biological animal products, since you rarely have full control over where they come from-especially in restaurants, packaged foods, and supermarket items. Labels like ""organic"" usually mean only modest improvements in animal welfare. For example, dairy cows are still regularly bred and slaughtered young, causing ongoing suffering. Because of these realities, many people choose veganism to avoid the uncertainty and systemic harm involved in animal product consumption."
it is part of our culture and tradition;Culture and tradition serve to build community and family ties, and should not be used to justify specific behaviors. They can develop. You can honor the connections while choosing alternatives that align with your ethics. You don't have to follow cultural practices that conflict with your values, and by making ethical choices, you can help develop the traditions in your community.
vegan parenting is brainwashing your children;Parents try to teach their children values and raise them happy en healthy. One could argue that it is stranger to teach them to love dogs and dont care about pigs, than to care for those animals equally. Also, raising children vegan is not about forcing ideology blindly but about providing age-appropriate information and care, allowing children to develop their own understanding as they grow
you cannot be 100% vegan;The fact that perfection is hard doesn't mean we should do nothing. Currently, animal industry byproducts show up everywhere. In glues, envelopes, cosmetics, and countless other everyday items. . As the demand for animal products declines, industries will replace these ingredients with plant-based or synthetic alternatives, making it ever easier to live without exploiting animals.
So we should kill all the animals now? That is cruel;Such a change will never happen instantly. But as most animals are slaughtered at a very young age, reducing the volume of breeding would even have an almost instant effect.
Farm animals would go extinct due to vegans;Wild boars, aurochs, and jungle fowl didn't need farming to survive for millennia. We're not 'preserving' species by mass-producing them for slaughter - we're exploiting artificial breeds that often can't even survive naturally due to selective breeding for production.
Why do vegan products always look like animal products;A lot of vegans are vegan for ethical reasons, not because they did not like the taste. So why not enjoy the same, just without animal suffering and climate impact.
vegan products are full of chemical ingredients;Some products contain thickeners or flavors, so do non-vegan precooked products. But many vegan manufacturers only use natural ingredients. And of course one could always choose to not buy processed food
I tried vegan once, it tasted terrible;Sorry for your experience. No need to bite into a block of raw tofu though. New vegans tend to try a lot of dishes. All are able to find plenty tasteful ones. And many dishes are vegan by nature.
The human brain developed thanks to meat consumption;The consumption of meat may have played a role, or not. This has not been proven. Also it certainly never was the sole driver. Otherwise crocodiles would have developed huge brains a hundred million years ago.
vegans are fanatic fundamentalists, and extremists;I choose veganism for compassion and health, not out of fanaticism.
vegans are hypocrites, animals die for you too;The fact that perfection is hard doesn't mean we should do nothing. We can choose to reduce animal suffering as much as we can.
if we are not supposed to eat animals, why do they taste so good;Mostly meat is cooked, baked and seasoned before eaten. But yes our brains have evolved to prefer food with the highest nutritional density. Which was useful for nomad hunters, but in our society it is a main cause of people eating too much.
Hitler was a vegetarian;Not exactly sure what the point is, but he reportedly mainly ate vegetarian after 1938, because his doctors advised him that, for health reasons.
Vegans always look unhealthy;Everyone's health and appearance vary regardless of diet. Many vegans are vibrant and healthy because of their plant-based lifestyle, and skin tone or looks aren't determined by diet alone
Men get breasts from eating tofu and soy;This is a myth with no scientific basis. Soy contains plant compounds that are much weaker than human hormones and don't affect testosterone or breast development in men. Many healthy populations worldwide consume soy regularly without these effects. Clinical studies consistently show soy is safe for men.
